curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.6972748815165877,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11', 'H1FS2', 'H2WP4', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1DS9', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1IR12', 'H2WP14', 'S62O', 'H1ED2', 'H2ED3', 'H1FS19', 'H2GH25', 'H2PF29'],23,5,10
1,0.6978672985781991,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,74,31
2,0.6978672985781991,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,74,31
3,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],4,72,29
4,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],4,72,29
5,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],4,72,29
6,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],4,72,29
7,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
8,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
9,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
10,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
11,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
12,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
13,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
14,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
15,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
16,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
17,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
18,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
19,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
20,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
21,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
22,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
23,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
24,0.7014218009478673,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF26', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1PF5', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H1PF25', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16'],5,73,28
