curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7227488151658767,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'S59E', 'H2TO30'],86,39,21
1,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],86,40,21
2,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],86,40,21
3,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],86,40,21
4,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],86,40,21
5,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],86,40,21
6,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],86,40,21
7,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],86,40,21
8,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],86,40,21
9,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],86,40,21
10,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],86,40,21
